simulation_id,timestamp,grid_size,num_agents,num_targets,num_obstacles,search_time_seconds,targets_found,targets_expired,avg_battery_remaining,success
1,2025-07-20T23:55:46.412461,40x30$,15,3,100,9.99,2,0,0.0,False
2,2025-07-20T23:55:56.408492,40x30$,15,3,100,10.02,2,0,0.0,False
3,2025-07-20T23:56:06.429791,40x30$,15,3,100,10.02,0,0,0.0,False
4,2025-07-20T23:56:16.450307,40x30$,15,3,100,10.02,2,0,0.0,False
5,2025-07-20T23:56:26.474473,40x30$,15,3,100,10.01,1,0,0.0,False
6,2025-07-20T23:56:36.490138,40x30$,15,3,100,10.02,1,0,0.0,False
7,2025-07-20T23:56:46.509137,40x30$,15,3,100,9.01,3,0,20.0,True
8,2025-07-20T23:56:55.523979,40x30$,15,3,100,10.02,2,0,0.0,False
9,2025-07-20T23:57:05.546941,40x30$,15,3,100,9.06,3,0,19.0,True
10,2025-07-20T23:57:14.611302,40x30$,15,3,100,10.02,2,0,0.0,False
